cuentaId,fecha,tipoMovimiento,monto,descripcion
701,2026-08-01,DEPOSITO,500000,Deposito sueldo agosto
701,2026-08-05,PAGO,-45000,Pago cuenta de luz
701,2026-08-10,RETIRO_CAJERO,-100000,Retiro cajero automatico
701,2026-08-20,TRANSFERENCIA,-80000,Transferencia a terceros
701,2026-09-01,DEPOSITO,500000,Deposito sueldo septiembre
702,2026-07-15,ABONO_INTERES,21000,Abono interes mensual
702,2026-08-15,ABONO_INTERES,21500,Abono interes mensual
702,2026-09-01,DEPOSITO,300000,Deposito ahorro
703,2026-08-11,DEPOSITO,320000,Deposito sueldo
703,2026-08-28,RETIRO_CAJERO,-50000,Retiro cajero automatico
704,2026-08-02,DEPOSITO,980500,Deposito sueldo
704,2026-08-18,PAGO,-120000,Pago tarjeta de credito
705,2026-08-09,DEPOSITO,150750,Deposito
706,2026-06-30,ABONO_INTERES,38000,Abono interes mensual
706,2026-07-31,ABONO_INTERES,38500,Abono interes mensual
706,2026-08-31,ABONO_INTERES,39000,Abono interes mensual
