cuenta_id,fecha,tipo_movimiento,monto,descripcion
201,2026-01-05,RECARGA,50000,Recarga mensual
201,2026-01-10,COBRO_ENVIO,-8000,Envio a Antofagasta
201,2026-01-18,COBRO_ENVIO,-6500,Envio a Iquique
201,2026-02-01,RECARGA,50000,Recarga mensual
202,2026-01-08,RECARGA,20000,Recarga inicial
202,2026-01-15,COBRO_ENVIO,-5000,Envio a Valparaiso
203,2026-01-03,RECARGA,40000,Recarga mensual
203,2026-01-12,COBRO_ENVIO,-9500,Envio a Concepcion
203,2026-01-20,COBRO_ENVIO,-7200,Envio a Temuco
203,2026-02-02,AJUSTE,1500,Ajuste por reclamo resuelto
204,2026-01-02,RECARGA,100000,Recarga mensual
204,2026-01-09,COBRO_ENVIO,-15000,Envio a Puerto Montt
204,2026-01-16,COBRO_ENVIO,-12000,Envio a Rancagua
204,2026-01-25,RECARGA,100000,Recarga mensual
205,2026-01-11,RECARGA,10000,Recarga inicial
205,2026-01-19,COBRO_ENVIO,-4000,Envio a La Serena
206,2026-01-06,RECARGA,30000,Recarga mensual
206,2026-01-14,COBRO_ENVIO,-6800,Envio a Chillan
206,2026-01-21,COBRO_ENVIO,-5200,Envio a Talca
207,2026-01-04,RECARGA,80000,Recarga mensual
207,2026-01-13,COBRO_ENVIO,-18000,Envio a Arica
207,2026-01-22,COBRO_ENVIO,-14000,Envio a Copiapo
207,2026-02-03,RECARGA,80000,Recarga mensual
208,2026-01-07,RECARGA,15000,Recarga inicial
208,2026-01-17,COBRO_ENVIO,-3800,Envio a Osorno
